Date,return_francisco
2005-04-30,-0.00898187299348796
2005-05-31,-0.039215617256758595
2005-06-30,0.008529404803658824
2005-07-31,0.04378276001548631
2005-08-31,-0.01087496978814928
2005-09-30,0.03379111777181576
2005-10-31,-0.006423966427397176
2005-11-30,0.05818958748818792
2005-12-31,0.050509234908443945
2006-01-31,0.09926325610950548
2006-02-28,-0.011111129799614039
2006-03-31,0.03620472249591056
2006-04-30,0.12030977706278301
2006-05-31,-0.013212367941960124
2006-06-30,-0.04670720314345789
2006-07-31,0.031520501708389714
2006-08-31,-0.02769985515344675
2006-09-30,0.02259986321292007
2006-10-31,0.035301279298430854
2006-11-30,0.02329512616053897
2006-12-31,0.01201527581207773
2007-01-31,0.018614940845556704
2007-02-28,0.011413093120527407
2007-03-31,-0.011131249335096238
2007-04-30,0.020535420109362157
2007-05-31,-0.012334263837672
2007-06-30,-0.017627828946843227
2007-07-31,-0.03534599370960234
2007-08-31,0.002754133121062763
2007-09-30,0.1050812664749683
2007-10-31,0.06951435807173012
2007-11-30,-0.01653527100410046
2007-12-31,0.06647697115798779
2008-01-31,0.10841623260567834
2008-02-29,0.052297578769115116
2008-03-31,-0.059991647169457596
2008-04-30,-0.04158834181981419
2008-05-31,0.0008459951277752786
2008-06-30,-0.08120778379852145
2008-07-31,-0.09888804158179076
2008-08-31,-0.09291743535130026
2008-09-30,-0.09241054628667034
2008-10-31,-0.3041202245206863
2008-11-30,0.12573593609702582
2008-12-31,0.07732535516442862
2009-01-31,0.05536293459751529
2009-02-28,0.014456244990886047
2009-03-31,-0.02536973490015315
2009-04-30,-0.03334074188003622
2009-05-31,0.04481936420216326
2009-06-30,0.0036737344933877036
2009-07-31,0.07737152129923608
2009-08-31,0.03711125519317582
2009-09-30,0.041335370499716806
2009-10-31,-0.026311377853898033
2009-11-30,0.11293573054756578
2009-12-31,-0.07203391451937668
2010-01-31,-0.040056825753573944
2010-02-28,0.034400145524073
2010-03-31,0.06395801457531336
2010-04-30,0.021815679907395635
2010-05-31,-0.04365022320072243
2010-06-30,0.02355318906837578
2010-07-31,-0.050871157346166984
2010-08-31,0.0570612528286536
2010-09-30,0.04775558440048866
2010-10-31,0.036822698148927246
2010-11-30,0.021112978094167456
2010-12-31,0.02169127358132439
2011-01-31,0.020483682498871447
2011-02-28,0.03697548628780112
2011-03-31,0.004185523521458734
2011-04-30,0.06619231218468902
2011-05-31,-0.01791688531222524
2011-06-30,-0.024325042799353658
2011-07-31,0.08417803620638908
2011-08-31,0.12274943937515781
2011-09-30,-0.1106234724683266
2011-10-31,0.05871187474779571
2011-11-30,0.036930284134714775
2011-12-31,0.00977098327416126
2012-01-31,0.050699951444360014
2012-02-29,0.04218483935838302
2012-03-31,0.03067696809633058
2012-04-30,-0.006366122351507353
2012-05-31,-0.06225616307662629
2012-06-30,0.040451283241182745
2012-07-31,0.008751346579509267
2012-08-31,0.027024189964178325
2012-09-30,0.03197341756110039
2012-10-31,-0.0294374168163416
2012-11-30,-0.0046754107219088015
2012-12-31,-0.022647146185952538
2013-01-31,0.054175916859087625
2013-02-28,0.012815769486655748
2013-03-31,0.039484787330491766
2013-04-30,0.01605739619331681
2013-05-31,0.024434721270648385
2013-06-30,-0.014367299203059347
2013-07-31,0.057457426355676855
2013-08-31,-0.030313708578362797
2013-09-30,0.051178615750749
2013-10-31,0.0047548650445310425
2013-11-30,0.02702704294218461
2013-12-31,0.027334959904623313
2014-01-31,-0.031692568486435646
2014-02-28,0.048664816757770124
2014-03-31,-0.032792893893549
2014-04-30,0.004934880732461844
2014-05-31,0.017254216548398205
2014-06-30,0.026212088407443268
2014-07-31,-0.019946666323580664
2014-08-31,0.04150782364084504
2014-09-30,-0.02096657201725516
2014-10-31,0.02745947390429171
2014-11-30,0.024803139473295488
2014-12-31,-0.0003833326944451265
2015-01-31,-0.027358631532874322
2015-02-28,-0.013385949034476763
2015-03-31,-0.019478597914401208
2015-04-30,0.006153950221069682
2015-05-31,0.01297368641778518
2015-06-30,-0.016748578831714545
2015-07-31,0.01700604468803313
2015-08-31,-0.06091500988461196
2015-09-30,0.014395980646747963
2015-10-31,0.02283363679084549
2015-11-30,-0.034751422771913676
2015-12-31,-0.021234348256659485
2016-01-31,-0.07651743316282911
2016-02-29,0.10930343875618331
2016-03-31,-0.008428860461434096
2016-04-30,0.0510880837080252
2016-05-31,-0.04081024021653212
2016-06-30,0.002734352225346459
2016-07-31,0.0431693106995128
2016-08-31,-0.022371604409157975
2016-09-30,0.0019910186123190954
2016-10-31,-0.021916652337133913
2016-11-30,0.04490745952012887
2016-12-31,0.019866659747995508
2017-01-31,0.018557122008025617
2017-02-28,0.03694876123773483
2017-03-31,0.0005524960776162047
2017-04-30,-0.02929837696299442
2017-05-31,-0.012753858993174716
2017-06-30,0.00947291026982322
2017-07-31,0.018802821036477013
2017-08-31,0.0014984913437057212
2017-09-30,-0.03333609830919859
2017-10-31,0.018203822914871548
2017-11-30,0.03030279635122146
2017-12-31,0.011610656992337542
2018-01-31,0.05231307932673235
2018-02-28,-0.03759565878703364
2018-03-31,0.010850035394923907
2018-04-30,-0.009539745360543694
2018-05-31,-0.022314748220081504
2018-06-30,0.0070358220866384436
2018-07-31,0.03318365326994521
2018-08-31,0.03432411949548064
2018-09-30,0.0019607577518099273
2018-10-31,-0.07410632355352775
2018-11-30,-0.0023669645123324257
2018-12-31,0.04942010593064938
2019-01-31,0.02886597938144364
2019-02-28,-0.006092201492828964
2019-03-31,0.005928411590311988
2019-04-30,0.03925069967892014
2019-05-31,-0.06449863847388881
2019-06-30,0.08507083585697184
2019-07-31,7.514839229938453e-05
2019-08-31,0.07912313456129927
2019-09-30,-0.03394786005434791
2019-10-31,0.02563546974700781
2019-11-30,-0.017295561946398474
2019-12-31,0.028041127840788826
2020-01-31,-0.0006110329676702886
2020-02-29,-0.07999031404320667
2020-03-31,-0.002224031676742455
2020-04-30,0.07261060302877476
2020-05-31,0.025881615436821104
2020-06-30,0.011954865129970793
2020-07-31,0.05743322417832797
2020-08-31,0.07104857652836949
2020-09-30,-0.03465353990483311
2020-10-31,-0.019493739663168697
2020-11-30,0.11803087847663973
2020-12-31,0.04676326357450633
2021-01-31,-0.0033394712422188944
2021-02-28,0.03139347149532412
2021-03-31,0.036479097170576624
2021-04-30,0.05036532063925736
2021-05-31,0.00456008993837731
2021-06-30,-0.04943691303527442
2021-07-31,0.017368255648606556
2021-08-31,0.02858530857562025
2021-09-30,-0.044641481633899915
2021-10-31,0.06687382536872999
2021-11-30,-0.014604727423922936
2021-12-31,0.03793023789345673
2022-01-31,-0.10460734555507234
2022-02-28,0.061217257237826006
2022-03-31,0.0127255799503041
2022-04-30,-0.020702963524693363
2022-05-31,-0.03261547766106776
2022-06-30,-0.015659651077124748
2022-07-31,-0.025881517491311956
2022-08-31,-0.0431185673105664
2022-09-30,-0.09230490693802129
2022-10-31,0.029506560215066813
2022-11-30,0.0849186596373046
2022-12-31,0.014683564133207039
